,Mkt-RF,SMB,HML,RF
2019-03,1.10,-3.03,-4.14,0.19
2019-04,3.97,-1.74,2.13,0.21
2019-05,-6.92,-1.26,-2.45,0.21
2019-06,6.92,0.26,-0.64,0.18
2019-07,1.23,-1.96,0.50,0.19
2019-08,-2.55,-2.39,-4.77,0.16
2019-09,1.41,-0.97,6.76,0.18
2019-10,2.07,0.27,-1.92,0.15
2019-11,3.87,0.72,-2.00,0.12
2019-12,2.77,0.76,1.73,0.14
2020-01,-0.11,-3.10,-6.22,0.13
2020-02,-8.15,1.08,-3.82,0.12
2020-03,-13.37,-4.69,-13.83,0.12
2020-04,13.60,2.50,-1.34,0.00
2020-05,5.57,2.40,-5.00,0.01
2020-06,2.45,2.67,-2.17,0.01
2020-07,5.83,-2.35,-1.44,0.01
2020-08,7.62,-0.20,-3.02,0.01
2020-09,-3.64,0.06,-2.72,0.01
2020-10,-2.08,4.34,4.25,0.01
2020-11,12.45,5.81,2.09,0.01
2020-12,4.63,5.01,-1.68,0.01
2021-01,-0.07,7.14,3.22,0.00
2021-02,2.81,2.02,7.20,0.00
2021-03,3.16,-2.33,7.35,0.00
2021-04,4.95,-3.19,-1.02,0.00
2021-05,0.30,-0.20,7.04,0.00
2021-06,2.74,1.70,-7.86,0.00
2021-07,1.34,-3.93,-1.79,0.00
2021-08,2.94,-0.32,-0.23,0.00
2021-09,-4.40,0.66,5.12,0.00
2021-10,6.63,-2.27,-0.53,0.00
2021-11,-1.58,-1.31,-0.37,0.00
2021-12,3.23,-1.63,3.26,0.01
2022-01,-6.16,-5.93,12.86,0.00
2022-02,-2.28,2.16,3.06,0.00
2022-03,3.08,-1.55,-1.90,0.00
2022-04,-9.41,-1.35,6.18,0.00
2022-05,-0.34,-1.84,8.44,0.03
2022-06,-8.40,2.07,-6.00,0.06
2022-07,9.56,2.84,-4.15,0.08
2022-08,-3.77,1.41,0.18,0.19
2022-09,-9.34,-0.76,0.03,0.19
2022-10,7.85,0.01,7.97,0.23
2022-11,4.65,-3.57,1.48,0.29
2022-12,-6.37,-0.76,1.34,0.33
2023-01,6.61,5.01,-3.94,0.35
2023-02,-2.57,1.05,-0.80,0.34
2023-03,2.48,-5.48,-9.05,0.36
2023-04,0.62,-3.37,-0.12,0.35
2023-05,0.34,1.60,-7.79,0.36
2023-06,6.46,1.49,-0.13,0.40
2023-07,3.21,2.05,4.06,0.45
2023-08,-2.36,-3.14,-1.15,0.45
2023-09,-5.23,-2.51,1.49,0.43
2023-10,-3.15,-3.86,0.20,0.47
2023-11,8.88,-0.10,1.67,0.44
2023-12,4.85,6.30,4.89,0.43
2024-01,0.73,-5.07,-2.38,0.47
2024-02,5.07,-0.24,-3.43,0.42
2024-03,2.84,-2.50,4.16,0.43
2024-04,-4.65,-2.37,-0.45,0.47
2024-05,4.33,0.55,-1.31,0.44
2024-06,2.80,-3.00,-3.36,0.41
2024-07,1.22,6.81,5.62,0.45
2024-08,1.60,-3.49,-1.10,0.48
2024-09,1.72,-0.13,-2.77,0.40
2024-10,-1.00,-0.99,0.86,0.39
2024-11,6.49,4.46,0.15,0.40
2024-12,-3.17,-2.71,-3.00,0.37
2025-01,2.80,-1.97,1.63,0.37
2025-02,-2.44,-5.79,4.91,0.33
2025-03,-6.39,-2.76,2.90,0.34
2025-04,-0.84,-0.59,-3.40,0.35
2025-05,6.06,0.70,-2.88,0.38
